EntrezID	GeneName	M1value	EntrezID\GeneName	M2value
3932	LCK	89	10919	EHMT2	2.79444274858
5499	PPP1CA	89	1639	DCTN1	2.79310333435
5595	MAPK3	89	7328	UBE2H	2.78303883301
7159	TP53BP2	89	84062	DTNBP1	2.78168727392
836	CASP3	89	7805	LAPTM5	2.77275589744
1760	DMPK	88	10957	PNRC1	2.74524474416
23649	POLA2	88	29979	UBQLN1	2.73810832508
55284	UBE2W	88	10524	KAT5	2.72500435883
5802	PTPRS	88	6597	SMARCA4	2.7225437331
6137	RPL13	88	11100	HNRNPUL1	2.71774758557
1478	CSTF2	87	695	BTK	2.67905621556
3276	PRMT1	87	7532	YWHAG	2.67059795175
3717	JAK2	87	10142	AKAP9	2.66447472412
4609	MYC	87	84105	PCBD2	2.6480976319
6687	SPG7	87	4137	MAPT	2.64371831825
9869	SETDB1	87	396	ARHGDIA	2.63773775374
2801	GOLGA2	86	7251	TSG101	2.62701415156
55093	WDYHV1	86	118460	EXOSC6	2.59820854531
84080	ENKD1	86	9444	QKI	2.59592123698
3320	HSP90AA1	85	6256	RXRA	2.59255545363
342371	ATXN1L	85	6908	TBP	2.57595469506
6721	SREBF2	85	4172	MCM3	2.57486460176
7050	TGIF1	85	3791	KDR	2.54609551946
8812	CCNK	85	10656	KHDRBS3	2.53577462574
10743	RAI1	84	51003	MED31	2.5181202574
396	ARHGDIA	84	1647	GADD45A	2.51592287591
5599	MAPK8	84	3164	NR4A1	2.50986006868
6279	S100A8	84	23543	RBFOX2	2.50852025061
65265	C8orf33	84	4318	MMP9	2.5060068296
84445	LZTS2	84	9873	FCHSD2	2.49963173673
10015	PDCD6IP	83	3276	PRMT1	2.49717536304
10114	HIPK3	83	3932	LCK	2.48693529212
26151	NAT9	83	148327	CREB3L4	2.48580316584
4287	ATXN3	83	6176	RPLP1	2.48546888163
5578	PRKCA	83	3198	HOXA1	2.47748936128
5925	RB1	83	5089	PBX2	2.47547273622
6772	STAT1	83	55577	NAGK	2.46906347984
7280	TUBB2A	83	7297	TYK2	2.46816761165
84289	ING5	83	5911	RAP2A	2.46669685139
2617	GARS	82	11244	ZHX1	2.45651065893
3190	HNRNPK	82	6117	RPA1	2.44739033354
5720	PSME1	82	5092	PCBD1	2.44069299362
6047	RNF4	82	140545	RNF32	2.43385301866
65125	WNK1	82	6722	SRF	2.43247035781
7324	UBE2E1	82	1649	DDIT3	2.43029631329
10381	TUBB3	81	28964	GIT1	2.42979041402
2335	FN1	81	27330	RPS6KA6	2.4255185899
2512	FTL	81	2316	FLNA	2.41633696797
2634	GBP2	81	5300	PIN1	2.40121679897
3667	IRS1	81	3093	UBE2K	2.39532441713
5863	RGL2	81	3866	KRT15	2.37720828538
6233	RPS27A	81	11124	FAF1	2.37185619157
637	BID	81	5781	PTPN11	2.35378695275
7341	SUMO1	81	1856	DVL2	2.34488654269
8648	NCOA1	81	8848	TSC22D1	2.3422893661
2010	EMD	80	983	CDK1	2.33195188294
26150	RIBC2	80	2146	EZH2	2.32574195862
301	ANXA1	80	5788	PTPRC	2.31996135111
3065	HDAC1	80	24144	TFIP11	2.31912430848
373	TRIM23	80	3059	HCLS1	2.30657651285
3875	KRT18	80	57002	YAE1D1	2.30214930121
5573	PRKAR1A	80	10073	SNUPN	2.2912823143
56144	PCDHA4	80	284312	ZSCAN1	2.25141035278
5781	PTPN11	80	10482	NXF1	2.23965464591
5914	RARA	80	1454	CSNK1E	2.2375418416
5930	RBBP6	80	10381	TUBB3	2.23402784275
613	BCR	80	836	CASP3	2.23137577017
65264	UBE2Z	80	1508	CTSB	2.22805149775
79723	SUV39H2	80	7076	TIMP1	2.22305689718
84467	FBN3	80	6303	SAT1	2.22255344953
862	RUNX1T1	80	10320	IKZF1	2.20532564359
90	ACVR1	80	7276	TTR	2.203555022
10342	TFG	79	4851	NOTCH1	2.20107445569
10919	EHMT2	79	771	CA12	2.20098476292
1627	DBN1	79	2597	GAPDH	2.19767212499
27229	TUBGCP4	79	26959	HBP1	2.1887112761
29959	NRBP1	79	5595	MAPK3	2.18800183955
5566	PRKACA	79	9189	ZBED1	2.17931153743
58500	ZNF250	79	10253	SPRY2	2.17455703797
7532	YWHAG	79	2261	FGFR3	2.16780330862
10063	COX17	78	7874	USP7	2.14956554264
1017	CDK2	78	2908	NR3C1	2.14817252041
23054	NCOA6	78	2275	FHL3	2.14579650947
5970	RELA	78	8204	NRIP1	2.1428247461
6016	RIT1	78	10262	SF3B4	2.14036354746
6613	SUMO2	78	9404	LPXN	2.13003966958
7874	USP7	78	11051	NUDT21	2.12306972573
8216	LZTR1	78	2147	F2	2.11885184437
9319	TRIP13	78	87	ACTN1	2.11195349074
9729	KIAA0408	78	5499	PPP1CA	2.10990796735
988	CDC5L	78	65264	UBE2Z	2.09780650411
10657	KHDRBS1	77	339390	CLEC4G	2.09304346285
1787	TRDMT1	77	4149	MAX	2.08934224079
4354	MPP1	77	211	ALAS1	2.08797795039
53826	FXYD6	77	5293	PIK3CD	2.08719494103
56658	TRIM39	77	1627	DBN1	2.07651856966
5788	PTPRC	77	11179	ZNF277	2.07039229446
6457	SH3GL3	77	4176	MCM7	2.06472986128
6829	SUPT5H	77	10075	HUWE1	2.05197031263
8312	AXIN1	77	22955	SCMH1	2.04466961883
84062	DTNBP1	77	81628	TSC22D4	2.03862667767
87	ACTN1	77	598	BCL2L1	2.03333337782
9612	NCOR2	77	2661	GDF9	2.01384460968
197131	UBR1	76	30008	EFEMP2	2.00985552794
2316	FLNA	76	7572	ZNF24	2.00659519617
54472	TOLLIP	76	7341	SUMO1	1.99462867126
5663	PSEN1	76	5925	RB1	1.99069058349
5705	PSMC5	76	7376	NR1H2	1.98811546195
5879	RAC1	76	55763	EXOC1	1.98585981248
5928	RBBP4	76	6850	SYK	1.97509791812
667	DST	76	23649	POLA2	1.96225225434
7409	VAV1	76	54	ACP5	1.9540686902
83878	USHBP1	76	991	CDC20	1.95365874887
1059	CENPB	75	4134	MAP4	1.95076697673
1759	DNM1	75	6456	SH3GL2	1.94096947247
3164	NR4A1	75	9882	TBC1D4	1.94013983452
3551	IKBKB	75	718	C3	1.93961024171
55755	CDK5RAP2	75	9759	HDAC4	1.92731753991
5873	RAB27A	75	7324	UBE2E1	1.91198335789
6783	SULT1E1	75	4193	MDM2	1.90931541808
6811	STX5	75	4092	SMAD7	1.90220216151
8554	PIAS1	75	142	PARP1	1.89321257846
1027	CDKN1B	74	6880	TAF9	1.8923664823
1031	CDKN2C	74	26146	TRAF3IP1	1.88992177558
10542	LAMTOR5	74	79753	SNIP1	1.88935555287
11165	NUDT3	74	6449	SGTA	1.88896829594
11170	FAM107A	74	51019	CCDC53	1.88300706294
27332	ZNF638	74	5347	PLK1	1.87785114553
29911	HOOK2	74	3692	EIF6	1.87207870964
3315	HSPB1	74	23281	MTUS2	1.87147108005
3336	HSPE1	74	11016	ATF7	1.86472904164
350	APOH	74	51631	LUC7L2	1.8639986369
51295	ECSIT	74	11098	PRSS23	1.86398517862
6598	SMARCB1	74	55388	MCM10	1.86343142845
7454	WAS	74	11036	GTF2A1L	1.86247941071
7916	PRRC2A	74	9638	FEZ1	1.85231641391
9757	KMT2B	74	10318	TNIP1	1.85066516174
2079	ERH	73	5976	UPF1	1.84993938906
23028	KDM1A	73	1780	DYNC1I1	1.84611745377
29979	UBQLN1	73	5830	PEX5	1.84344539551
5159	PDGFRB	73	58	ACTA1	1.84037166424
55512	SMPD3	73	79797	ZNF408	1.83907877851
5782	PTPN12	73	2246	FGF1	1.83716825892
8878	SQSTM1	73	10657	KHDRBS1	1.82923668972
9093	DNAJA3	73	1743	DLST	1.82878445301
10574	CCT7	72	9802	DAZAP2	1.82650087146
22955	SCMH1	72	56970	ATXN7L3	1.82567797077
22981	NINL	72	5663	PSEN1	1.80822115802
355	FAS	72	23533	PIK3R5	1.80323439494
473	RERE	72	8350	HIST1H3A	1.79978794225
55339	WDR33	72	79020	C7orf25	1.79907330436
6602	SMARCD1	72	11178	LZTS1	1.79456566733
71	ACTG1	72	7325	UBE2E2	1.79255463473
7718	ZNF165	72	2101	ESRRA	1.78682985587
8888	MCM3AP	72	2189	FANCG	1.78340472192
266812	NAP1L5	71	3320	HSP90AA1	1.78239579933
27037	TRMT2A	71	57551	TAOK1	1.7818770628
3093	UBE2K	71	5606	MAP2K3	1.78168567163
7205	TRIP6	71	596	BCL2	1.78111752603
79101	TAF1D	71	26039	SS18L1	1.78009724554
80254	CEP63	71	5001	ORC5	1.77291003542
81631	MAP1LC3B	71	5601	MAPK9	1.76690403231
23043	TNIK	70	7920	ABHD16A	1.76594570585
25920	NELFB	70	1936	EEF1D	1.76070839553
29117	BRD7	70	7205	TRIP6	1.75945681075
3189	HNRNPH3	70	55603	FAM46A	1.75853823612
4193	MDM2	70	7332	UBE2L3	1.75697750482
5394	EXOSC10	70	9564	BCAR1	1.75281492689
54544	CRCT1	70	84619	ZGPAT	1.74980222497
55885	LMO3	70	9146	HGS	1.7453413143
6187	RPS2	70	5599	MAPK8	1.74515121724
6709	SPTAN1	70	1173	AP2M1	1.74395964346
6850	SYK	70	6232	RPS27	1.74295456559
6885	MAP3K7	70	1234	CCR5	1.74055287597
7337	UBE3A	70	5829	PXN	1.73884967707
8761	PABPC4	70	1104	RCC1	1.73100469213
90678	LRSAM1	70	3609	ILF3	1.72902945345
9638	FEZ1	70	22983	MAST1	1.72620192658
998	CDC42	70	5580	PRKCD	1.71693973177
113878	DTX2	69	9135	RABEP1	1.71288846902
26508	HEYL	69	2026	ENO2	1.71287217978
506	ATP5B	69	7132	TNFRSF1A	1.71262914403
51380	CSAD	69	26019	UPF2	1.71232651617
595	CCND1	69	79873	NUDT18	1.71025089184
5985	RFC5	69	1487	CTBP1	1.70803572484
6880	TAF9	69	387	RHOA	1.70554949358
7410	VAV2	69	55644	OSGEP	1.70279508567
10539	GLRX3	68	4097	MAFG	1.69879676857
1639	DCTN1	68	51138	COPS4	1.69644935831
22803	XRN2	68	29888	STRN4	1.69572472914
3716	JAK1	68	54464	XRN1	1.69465445479
5047	PAEP	68	4751	NEK2	1.68562111015
5315	PKM	68	54926	UBE2R2	1.67069199228
5371	PML	68	54935	DUSP23	1.66913833258
54622	ARL15	68	54512	EXOSC4	1.66870682462
54819	ZCCHC10	68	94	ACVRL1	1.66601364651
7965	AIMP2	68	23499	MACF1	1.65641046239
81628	TSC22D4	68	1114	CHGB	1.64773648915
841	CASP8	68	2804	GOLGB1	1.64122422066
8440	NCK2	68	29911	HOOK2	1.63840053159
84966	IGSF21	68	3065	HDAC1	1.63299576602
9564	BCAR1	68	4609	MYC	1.62442300791
9611	NCOR1	68	8543	LMO4	1.62106482852
2638	GC	67	79036	KXD1	1.61637185208
3146	HMGB1	67	11059	WWP1	1.61105767874
4137	MAPT	67	5782	PTPN12	1.61029071232
4914	NTRK1	67	10551	AGR2	1.60674901304
5430	POLR2A	67	79959	CEP76	1.59848191644
54973	CPSF3L	67	8991	SELENBP1	1.59228835926
5601	MAPK9	67	5894	RAF1	1.57937992009
5770	PTPN1	67	65265	C8orf33	1.57420164895
5901	RAN	67	9611	NCOR1	1.56709118475
5908	RAP1B	67	84966	IGSF21	1.55460172432
648	BMI1	67	6780	STAU1	1.55420274121
9252	RPS6KA5	67	60492	CCDC90B	1.55342503185
11052	CPSF6	66	51588	PIAS4	1.54967645502
164127	C1orf65	66	3482	IGF2R	1.54378523783
27252	KLHL20	66	1785	DNM2	1.54219284838
467	ATF3	66	4627	MYH9	1.53731700301
5092	PCBD1	66	11186	RASSF1	1.53653820104
5336	PLCG2	66	10928	RALBP1	1.53438397195
54778	RNF111	66	1977	EIF4E	1.53384804547
55211	DPPA4	66	1994	ELAVL1	1.53360317936
5795	PTPRJ	66	4802	NFYC	1.52298665435
6612	SUMO3	66	80021	TMEM62	1.52117014701
79797	ZNF408	66	8850	KAT2B	1.51614600924
8503	PIK3R3	66	7068	THRB	1.51503841728
8543	LMO4	66	8812	CCNK	1.51465720556
2783	GNB2	65	10567	RABAC1	1.51402720004
29109	FHOD1	65	2896	GRN	1.51231746471
2948	GSTM4	65	22934	RPIA	1.50904017443
4331	MNAT1	65	6258	RXRG	1.50712683971
5432	POLR2C	65	4217	MAP3K5	1.50420440859
5921	RASA1	65	1742	DLG4	1.50298047415
596	BCL2	65	4846	NOS3	1.50287756283
64753	CCDC136	65	57819	LSM2	1.5019197741
8600	TNFSF11	65	5000	ORC4	1.49520539677
1271	CNTFR	64	11091	WDR5	1.49376343834
23499	MACF1	64	22883	CLSTN1	1.49323516163
2886	GRB7	64	5008	OSM	1.49077848619
358	AQP1	64	54472	TOLLIP	1.48708800457
3937	LCP2	64	3661	IRF3	1.48700147095
4176	MCM7	64	1019	CDK4	1.48575119545
4804	NGFR	64	8668	EIF3I	1.47893489909
51608	GET4	64	4615	MYD88	1.47769856172
5217	PFN2	64	5058	PAK1	1.47264299518
6237	RRAS	64	4591	TRIM37	1.46786569639
6456	SH3GL2	64	3875	KRT18	1.46718897875
6622	SNCA	64	57142	RTN4	1.46678072425
6625	SNRNP70	64	1736	DKC1	1.46539502805
7328	UBE2H	64	55755	CDK5RAP2	1.46364576919
7334	UBE2N	64	3190	HNRNPK	1.46159652425
80764	THAP7	64	5930	RBBP6	1.46108679355
84078	KBTBD7	64	7133	TNFRSF1B	1.46029230711
84164	ASCC2	64	8600	TNFSF11	1.45894570618
10254	STAM2	63	51280	GOLM1	1.45668836665
10971	YWHAQ	63	6146	RPL22	1.4564624816
147687	ZNF417	63	3383	ICAM1	1.45305298616
379	ARL4D	63	4651	MYO10	1.44043351878
4090	SMAD5	63	10513	APPBP2	1.4363390502
5648	MASP1	63	6354	CCL7	1.43422561305
5800	PTPRO	63	1843	DUSP1	1.43220113422
675	BRCA2	63	5217	PFN2	1.4293498462
7314	UBB	63	5747	PTK2	1.42702647066
10008	KCNE3	62	51808	PHAX	1.42550008494
10589	DRAP1	62	22927	HABP4	1.42538993037
1284	COL4A2	62	6711	SPTBN1	1.41437234823
23650	TRIM29	62	221504	ZBTB9	1.41391177462
5468	PPARG	62	5996	RGS1	1.41308474702
5469	MED1	62	5590	PRKCZ	1.41265957314
57819	LSM2	62	2886	GRB7	1.40538812955
7013	TERF1	62	92840	REEP6	1.40381845474
79020	C7orf25	62	6929	TCF3	1.40206752731
79607	FAM118B	62	10813	UTP14A	1.40121345386
8202	NCOA3	62	90427	BMF	1.3977594252
8850	KAT2B	62	7317	UBA1	1.39600763609
8988	HSPB3	62	6118	RPA2	1.39520015372
10445	MCRS1	61	8241	RBM10	1.391727148
1072	CFL1	61	5914	RARA	1.39016606386
1386	ATF2	61	8503	PIK3R3	1.38917721139
1742	DLG4	61	7919	DDX39B	1.38598689208
23286	WWC1	61	2113	ETS1	1.38000076605
3184	HNRNPD	61	10200	MPHOSPH6	1.37806499453
4288	MKI67	61	1803	DPP4	1.37473640034
4792	NFKBIA	61	8663	EIF3C	1.37420910201
51776	ZAK	61	6772	STAT1	1.36127823053
54512	EXOSC4	61	5467	PPARD	1.35817133952
5564	PRKAB1	61	90410	IFT20	1.35283845068
6601	SMARCC2	61	379	ARL4D	1.35096479281
6654	SOS1	61	26292	MYCBP	1.35033301676
7123	CLEC3B	61	578	BAK1	1.34944676899
78987	CRELD1	61	7327	UBE2G2	1.34884125459
79036	KXD1	61	5888	RAD51	1.34874117732
85302	FBF1	61	23476	BRD4	1.34751521871
8926	SNURF	61	6667	SP1	1.34502559693
9260	PDLIM7	61	10382	TUBB4A	1.3443678169
100653061	LOC100653061	60	5861	RAB1A	1.34284242535
10188	TNK2	60	84838	ZNF496	1.34010226611
10236	HNRNPR	60	4790	NFKB1	1.33862601
1147	CHUK	60	5050	PAFAH1B3	1.33221169856
163	AP2B1	60	2975	GTF3C1	1.33106223908
1912	PHC2	60	7185	TRAF1	1.32499446537
22893	BAHD1	60	580	BARD1	1.32485220408
22938	SNW1	60	5394	EXOSC10	1.32408857226
23543	RBFOX2	60	54840	APTX	1.32202165421
23557	SNAPIN	60	64780	MICAL1	1.3212958927
27258	LSM3	60	1445	CSK	1.32020430022
3312	HSPA8	60	5921	RASA1	1.31960398118
4300	MLLT3	60	1981	EIF4G1	1.31874603645
51562	MBIP	60	333	APLP1	1.31813003966
8087	FXR1	60	23521	RPL13A	1.31620373479
835	CASP2	60	11060	WWP2	1.31567950567
84970	C1orf94	60	9402	GRAP2	1.31311522256
9659	PDE4DIP	60	1053	CEBPE	1.31218120539
10783	NEK6	59	83593	RASSF5	1.30974252972
11183	MAP4K5	59	4000	LMNA	1.30831833188
1173	AP2M1	59	862	RUNX1T1	1.30229488136
118460	EXOSC6	59	2002	ELK1	1.29903534186
2261	FGFR3	59	9519	TBPL1	1.29781932477
51224	TCEB3B	59	6285	S100B	1.29751132974
